 20240628-073144,[command] python model_zoo/DIN/run_expid.py,[exp_id] DIN_amazonelectronics_x1_id_only,[dataset_id] AmazonElectronics_x1_id_only,[train] N.A.,[val] gAUC: 0.883541 - AUC: 0.886057 - logloss: 0.427677,[test] gAUC: 0.883541 - AUC: 0.886057 - logloss: 0.427677
 20240628-093110,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_text_only,[exp_id] DIN_amazonelectronics_x1_text_only,[dataset_id] AmazonElectronics_x1_text_only,[train] N.A.,[val] gAUC: 0.854800 - AUC: 0.855511 - logloss: 0.475696,[test] gAUC: 0.854800 - AUC: 0.855511 - logloss: 0.475696
 20240628-112045,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_text_only_256,[exp_id] DIN_amazonelectronics_x1_text_only_256,[dataset_id] AmazonElectronics_x1_text_only,[train] N.A.,[val] gAUC: 0.856031 - AUC: 0.856926 - logloss: 0.476100,[test] gAUC: 0.856031 - AUC: 0.856926 - logloss: 0.476100
 20240628-124553,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_text_only_full,[exp_id] DIN_amazonelectronics_x1_text_only_full,[dataset_id] AmazonElectronics_x1_text_only,[train] N.A.,[val] gAUC: 0.851328 - AUC: 0.850999 - logloss: 0.533630,[test] gAUC: 0.851328 - AUC: 0.850999 - logloss: 0.533630
 20240628-132344,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_text_only_512,[exp_id] DIN_amazonelectronics_x1_text_only_512,[dataset_id] AmazonElectronics_x1_text_only,[train] N.A.,[val] gAUC: 0.858557 - AUC: 0.858996 - logloss: 0.482183,[test] gAUC: 0.858557 - AUC: 0.858996 - logloss: 0.482183
 20240629-083555,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_text_only_1024,[exp_id] DIN_amazonelectronics_x1_text_only_1024,[dataset_id] AmazonElectronics_x1_text_only,[train] N.A.,[val] gAUC: 0.853485 - AUC: 0.854520 - logloss: 0.507244,[test] gAUC: 0.853485 - AUC: 0.854520 - logloss: 0.507244
 20240629-100629,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_text_only_64,[exp_id] DIN_amazonelectronics_x1_text_only_64,[dataset_id] AmazonElectronics_x1_text_only,[train] N.A.,[val] gAUC: 0.853121 - AUC: 0.854223 - logloss: 0.478787,[test] gAUC: 0.853121 - AUC: 0.854223 - logloss: 0.478787
 20240701-075944,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_mix_64_64,[exp_id] DIN_amazonelectronics_x1_mix_64_64,[dataset_id] AmazonElectronics_x1_mix,[train] N.A.,[val] gAUC: 0.886930 - AUC: 0.888405 - logloss: 0.428039,[test] gAUC: 0.886930 - AUC: 0.888405 - logloss: 0.428039
 20240701-090706,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_mix_64_128,[exp_id] DIN_amazonelectronics_x1_mix_64_128,[dataset_id] AmazonElectronics_x1_mix,[train] N.A.,[val] gAUC: 0.881156 - AUC: 0.881895 - logloss: 0.458825,[test] gAUC: 0.881156 - AUC: 0.881895 - logloss: 0.458825
 20240701-131845,[command] python model_zoo/DIN/run_expid.py --expid DIN_amazonelectronics_x1_mix_32_32,[exp_id] DIN_amazonelectronics_x1_mix_32_32,[dataset_id] AmazonElectronics_x1_mix,[train] N.A.,[val] gAUC: 0.887283 - AUC: 0.888749 - logloss: 0.426734,[test] gAUC: 0.887283 - AUC: 0.888749 - logloss: 0.426734
